ime,naslov,drzava,standard_rating,rapid_rating,blitz_rating,leto_rojstva
"Lu, Shanglei",GM ,CHN,2616,2613,2646,1995
"Smirin, Ilia",GM ,ISR,2616,2678,2499,1968
"Kravtsiv, Martyn",GM ,UKR,2616,2675,2660,1990
"Zhou, Jianchao",GM ,CHN,2616,2570,2462,1988
"Khairullin, Ildar",GM ,RUS,2615,2671,2657,1990
"Grachev, Boris",GM ,RUS,2615,2656,2555,1986
"Ter-Sahakyan, Samvel",GM ,ARM,2615,2573,2551,1993
"Erdos, Viktor",GM ,HUN,2615,2601,2599,1987
"Chernin, Alexander",GM ,HUN,2614,,,1960
"Akopian, Vladimir",GM ,USA,2614,2668,2641,1971
"Illescas Cordoba, Miguel",GM ,ESP,2613,2612,,1965
"Kononenko, Dmitry",GM ,UKR,2613,2546,2706,1988
"Indjic, Aleksandar",GM ,SRB,2612,2544,2643,1995
"Galkin, Alexander",GM ,RUS,2611,2498,2510,1979
"Aravindh, Chithambaram VR.",GM ,IND,2611,2572,2561,1999
"Van Wely, Loek",GM ,NED,2611,2635,2593,1972
Praggnanandhaa R,GM ,IND,2610,1821,2599,2005
"Hodgson, Julian M",GM ,ENG,2609,,,1963
"Markus, Robert",GM ,SRB,2609,2625,2632,1983
"Sadhwani, Raunak",GM ,IND,2609,2454,2517,2005
"Salgado Lopez, Ivan",GM ,ESP,2609,2550,2605,1991
"Zvjaginsev, Vadim",GM ,RUS,2609,2539,2674,1976
"Khalifman, Alexander",GM ,RUS,2608,2522,,1966
"Alterman, Boris",GM ,ISR,2608,2601,,1970
"Martinez Alcantara, Jose Eduardo",GM ,PER,2608,2645,2690,1999
"Hammer, Jon Ludvig",GM ,NOR,2608,2647,2607,1990
"Warmerdam, Max",GM ,NED,2608,2412,2537,2000
"Henriquez Villagra, Cristobal",GM ,CHI,2608,2568,2583,1996
"Hakobyan, Aram",GM ,ARM,2607,2476,2557,2001
"Banusz, Tamas",GM ,HUN,2607,2554,2602,1989
"Antipov, Mikhail Al.",GM ,RUS,2607,2644,2587,1997
"Pilavov, Georgy",GM ,UKR,2607,2478,2488,1974
"Akobian, Varuzhan",GM ,USA,2606,2639,2634,1983
"Khismatullin, Denis",GM ,RUS,2606,2523,2543,1984
"Hansen, Eric",GM ,CAN,2606,2579,2568,1992
"Vescovi, Giovanni",GM ,BRA,2606,2609,2593,1978
"Pashikian, Arman",GM ,ARM,2606,2585,2536,1987
"Iturrizaga Bonelli, Eduardo",GM ,ESP,2606,2634,2646,1989
"Stellwagen, Daniel",GM ,NED,2605,,,1987
"Moiseenko, Alexander",GM ,UKR,2605,2575,2549,1980
"Puranik, Abhimanyu",GM ,IND,2604,2472,2437,2000
"Bortnyk, Olexandr",GM ,UKR,2604,2643,2723,1996
"Ivanisevic, Ivan",GM ,SRB,2604,2593,2499,1977
